Date,Title,Link,Source
2024-11-22 13:42:00,Robinhoods Gallagher Drops Out of SEC Chair Consideration,https://finance.yahoo.com/news/robinhood-gallagher-drops-sec-chair-184253675.html,Bloomberg
2024-11-22 12:00:00,Robinhood's top attorney Gallagher rules out SEC chair role,https://finance.yahoo.com/news/robinhoods-chief-legal-officer-gallagher-170039192.html,Reuters
2024-11-21 16:35:00,Gary Gensler Plans to Step Down From SEC in January,https://finance.yahoo.com/news/gary-gensler-plans-step-down-180000215.html,Bloomberg
2024-11-19 08:26:00,Robinhood to acquire TradePMR for $300 million to boost advisory business,https://finance.yahoo.com/news/robinhood-acquire-tradepmr-300-million-132617432.html,Reuters
2024-11-19 07:00:00,Robinhood to Buy TradePMR for $300 Million in Wealth Client Push,https://finance.yahoo.com/news/robinhood-buy-tradepmr-300-million-120000673.html,Bloomberg
2024-11-07 17:28:00,"Robinhood attorney, Republican regulators being considered for Trump financial agency short list",https://finance.yahoo.com/news/robinhood-attorney-republican-regulators-being-222858049.html,Reuters
2024-12-04 15:15:00,Robinhood to Launch in Asia in 2025 With Singapore HQ,https://finance.yahoo.com/news/robinhood-coming-asia-2025-175700862.html,Bloomberg
2025-01-13 16:46:00,"Robinhood to pay $45 million to settle SEC charges over recordkeeping, other violations",https://finance.yahoo.com/news/robinhood-pay-45-million-settle-214630301.html,Reuters
2025-01-13 18:26:00,Robinhood to Pay $45 Million to Settle SEC Claims,https://finance.yahoo.com/news/robinhood-pay-45-million-settle-213926850.html,Bloomberg
2025-02-03 08:00:00,Robinhood Launches Super Bowl Event Contracts for Retail Traders,https://finance.yahoo.com/news/robinhood-launches-super-bowl-event-130000235.html,Bloomberg
2025-02-03 08:04:00,Trading touchdowns: Robinhood launches Super Bowl prediction contracts,https://finance.yahoo.com/news/trading-touchdowns-robinhood-launches-super-130449755.html,Reuters
2025-02-03 20:10:00,"Crypto.com, Kalshis Super Bowl Wagers Probed by US Regulator",https://finance.yahoo.com/news/crypto-com-kalshi-super-bowl-200547368.html,Bloomberg
2025-02-04 12:35:00,Robinhood halts rollout of Super Bowl betting contracts after CFTC request,https://finance.yahoo.com/news/robinhood-receives-us-cftc-request-173527139.html,Reuters
2025-02-04 15:03:00,Robinhood Says CFTC Asked It to Halt Super Bowl Wagers,https://finance.yahoo.com/news/cftc-requests-robinhood-halt-super-180422602.html,Bloomberg
2025-02-12 16:09:00,Robinhood beats profit estimates as post-election trading frenzy lifts volumes,https://finance.yahoo.com/news/robinhoods-profit-surges-post-election-210919083.html,Reuters
2025-02-12 18:28:00,"Robinhood Revenue Doubles, Fueled by Surge in Crypto Trading",https://finance.yahoo.com/news/robinhood-revenue-doubles-fueled-post-211207114.html,Bloomberg
2025-02-13 05:17:00,"Robinhood gains ground in crypto trading, intensifying competition",https://finance.yahoo.com/news/robinhood-shares-surge-crypto-market-101714154.html,Reuters
2025-02-13 11:18:00,"Robinhood Revenue Doubles, Fueled by Surge in Crypto Trading",https://finance.yahoo.com/news/robinhood-revenue-doubles-fueled-post-211207114.html,Bloomberg
2025-02-24 08:15:00,US securities regulator closes investigation into Robinhood's crypto arm with no action,https://finance.yahoo.com/news/us-sec-closes-investigation-robinhood-131522726.html,Reuters
2025-02-24 09:28:00,Robinhood Says SEC Closes Crypto Probe Without Enforcement,https://finance.yahoo.com/news/robinhood-says-sec-closes-crypto-133922112.html,Bloomberg
2025-02-25 12:57:00,Robinhood CEO Tenev Says Financial Regulation Good for the Firm,https://finance.yahoo.com/news/robinhood-ceo-tenev-says-financial-175751008.html,Bloomberg
2025-03-03 12:27:00,"Zero-Day Options Hits Trading Record on Trump Turmoil, Robinhood Push",https://finance.yahoo.com/news/zero-day-options-hits-trading-172743022.html,Bloomberg
2025-03-07 16:17:00,Robinhood paying $29.75 million to end US regulator's probes,https://finance.yahoo.com/news/robinhood-paying-29-75-million-211730305.html,Reuters
2025-03-07 17:27:00,Robinhood to Pay $26 Million to Settle Finra Allegations,https://finance.yahoo.com/news/robinhood-pay-26-million-settle-222709374.html,Bloomberg
