Date,Title,Link,Source
2024-11-25 15:53:00,Tesla Excluded From EV Buyer Credits in California Proposal,https://finance.yahoo.com/news/california-pledges-ev-buyer-rebate-152405490.html,Bloomberg
2024-11-25 10:48:00,Tesla racked up greenhouse emissions credits in 2023 as other automakers lagged,https://finance.yahoo.com/news/tesla-racked-greenhouse-emissions-credits-154834340.html,Reuters
2024-11-25 10:20:00,"Teslas $350 Billion Stock Surge Driven by Animal Spirits, UBS Says",https://finance.yahoo.com/news/tesla-350-billion-stock-surge-113539144.html,Bloomberg
2024-11-26 05:36:00,"Trump eyes ""AI czar"", Axios reports",https://finance.yahoo.com/news/trump-eyes-ai-czar-axios-103610910.html,Reuters
2024-11-27 02:38:00,Lidar Maker Hesai Sees Device Becoming as Common as Airbags,https://finance.yahoo.com/news/lidar-maker-hesai-sees-technology-023504385.html,Bloomberg
2024-11-29 02:57:00,"India to expand EV manufacturing incentives after Tesla disappointment, source says",https://finance.yahoo.com/news/india-expand-ev-manufacturing-incentives-075747988.html,Reuters
2024-11-29 21:48:00,JPMorgan agrees to drop lawsuit against Tesla over stock warrants,https://finance.yahoo.com/news/jpmorgan-agrees-drop-lawsuit-against-024805864.html,Reuters
2024-11-30 10:12:00,"JPMorgan Drops Suit Against Tesla Over Musk Tweet, Warrants",https://finance.yahoo.com/news/jpmorgan-drops-suit-against-tesla-002308194.html,Bloomberg
2024-12-09 14:00:00,"Tesla aims to launch robotaxi with teleoperator backup, Deutsche Bank says",https://finance.yahoo.com/news/tesla-aims-launch-robotaxi-teleoperator-190056372.html,Reuters
2024-12-09 21:41:00,Xiaomi Teases Tesla-Like SUV for Summer in Big EV Expansion,https://finance.yahoo.com/news/xiaomi-teases-tesla-suv-summer-012807364.html,Bloomberg
2024-12-10 02:12:00,Xiaomi Teases Tesla-Like SUV for Summer in Big EV Expansion,https://finance.yahoo.com/news/xiaomi-teases-tesla-suv-summer-012807364.html,Bloomberg
2024-12-10 11:50:00,"Tesla restarts search for New Delhi showroom with India's DLF, sources say",https://finance.yahoo.com/news/tesla-restarts-search-delhi-showroom-165012940.html,Reuters
2024-12-10 19:49:00,GM Calls It Quits on Mary Barras $50 Billion Robotaxi Dream,https://finance.yahoo.com/news/gm-calls-quits-mary-barra-004909597.html,Bloomberg
2024-12-10 22:30:00,"Tesla sells 21,900 EVs in China in first week of Dec, the highest in Q4",https://finance.yahoo.com/news/tesla-sells-21-900-evs-033040530.html,Reuters
2024-12-11 09:40:00,GM Calls It Quits on Mary Barras $50 Billion Robotaxi Dream,https://finance.yahoo.com/news/gm-calls-quits-mary-barra-004909597.html,Bloomberg
2024-12-11 12:19:00,Tesla shares jump to record high,https://finance.yahoo.com/news/tesla-shares-jump-record-high-171931266.html,Reuters
2024-12-11 16:12:00,Tesla Shares Jump to Record Amid $515 Billion Rally in Six Weeks,https://finance.yahoo.com/news/tesla-shares-jump-record-amid-165559160.html,Bloomberg
2024-12-11 17:11:00,"Elon Musks Net Worth Tops $400 Billion, a Historic First",https://finance.yahoo.com/news/elon-musk-net-worth-tops-164108960.html,Bloomberg
2024-12-12 09:36:00,"Elon Musk's net worth tops $400 billion, Forbes billionaires list shows",https://finance.yahoo.com/news/elon-musks-net-worth-tops-143636735.html,Reuters
2024-12-12 21:50:00,Musk Ups SEC Feud by Posting Letter Disclosing Neuralink Probe,https://finance.yahoo.com/news/musk-ups-sec-feud-posting-025048855.html,Bloomberg
2024-12-13 02:59:00,Tesla launches 'Actually Smart Summon' feature in China,https://finance.yahoo.com/news/tesla-launches-actually-smart-summon-075955815.html,Reuters
2024-12-13 06:09:00,Exclusive-Trump transition recommends scrapping car-crash reporting requirement opposed by Tesla,https://finance.yahoo.com/m/7630ec69-2bc6-31c1-87f5-b35d993f2d78/exclusive-trump-transition.html,Reuters
2024-12-13 07:27:00,A 500% rally shows the Elon Musk euphoria for bold-faced fund,https://finance.yahoo.com/news/500-rally-shows-elon-musk-122744721.html,Bloomberg
2024-12-13 12:02:00,"Musk Ups SEC Feud Over Neuralink Probe, Twitter Claims",https://finance.yahoo.com/news/musk-ups-sec-feud-posting-025048855.html,Bloomberg
