Date,Title,Link,Source
2024-11-21 06:52:00,"China's Trustar raises $1 billion for vehicle that holds McDonald's China stake, sources say",https://finance.yahoo.com/news/chinas-trustar-raises-1-billion-115212367.html,Reuters
2024-11-12 07:33:00,McDonalds Taps Swiss Franc Market Full of Global Corporates,https://finance.yahoo.com/news/mcdonald-taps-busy-swiss-franc-094153512.html,Bloomberg
2024-10-30 15:52:00,"Onions were likely source of McDonald's E. coli outbreak, US CDC says",https://finance.yahoo.com/news/us-cdc-says-90-people-195212000.html,Reuters
2024-10-29 14:59:00,McDonald's sued by consumers over E.coli outbreak,https://finance.yahoo.com/news/mcdonalds-sued-consumers-over-e-185919447.html,Reuters
2024-10-29 14:59:00,McDonald's sued by consumers in proposed class action over E.coli outbreak,https://finance.yahoo.com/news/mcdonalds-sued-consumers-over-e-185919256.html,Reuters
2024-11-30 06:47:00,"Irish Vote Close as Exit Poll Shows Harris, Sinn Fein Level",https://finance.yahoo.com/news/irish-pm-harris-almost-level-220730682.html,Bloomberg
2024-12-03 11:52:00,"E. coli outbreak tied to McDonald's Quarter Pounders has ended, CDC says",https://finance.yahoo.com/news/e-coli-outbreak-tied-mcdonalds-165233067.html,Reuters
2024-12-09 21:09:00,Google pulls McDonald's negative reviews over arrest in UnitedHealth murder,https://finance.yahoo.com/m/e002c1f0-c003-3bbe-a883-8e2cb9a4ebe4/google-pulls-mcdonald%27s.html,Reuters
2025-01-06 19:15:00,McDonald's rolls back some diversity practices in head office,https://finance.yahoo.com/news/mcdonalds-rolls-back-diversity-practices-001518450.html,Reuters
2025-02-01 06:59:00,McDonald's settles lawsuit challenging Latino scholarship program,https://finance.yahoo.com/news/mcdonalds-settles-lawsuit-challenging-latino-115956008.html,Reuters
