Date,Title,Link,Source
2024-11-19 11:15:00,Volkswagen appoints former Rivian executive as head of American business,https://finance.yahoo.com/news/volkswagen-appoints-former-rivian-executive-161554643.html,Reuters
2024-11-13 09:51:00,Volkswagen Boosts Bet on Rivians EV Tech by $800 Million,https://finance.yahoo.com/news/volkswagen-boosts-bet-rivian-ev-213315347.html,Bloomberg
2024-11-13 06:55:00,Rivian shares surge on $5.8 billion Volkswagen investment in JV,https://finance.yahoo.com/news/rivian-shares-surge-5-8-115538574.html,Reuters
2024-11-12 16:19:00,Volkswagen raises investment in Rivian to $5.8 billion,https://finance.yahoo.com/news/rivian-volkswagen-group-launch-5-211929826.html,Reuters
2024-11-07 18:08:00,LG Energy Solution signs 5-year battery supply deal with Rivian,https://finance.yahoo.com/news/lg-energy-solution-signs-5-230827847.html,Reuters
2024-11-07 16:11:00,Rivian sticks to gross profit target despite part supply disruption,https://finance.yahoo.com/news/rivians-quarterly-revenue-slumps-first-211150952.html,Reuters
2024-11-26 07:10:00,Rivian Wins Preliminary Approval for $6.6 Billion US Loan,https://finance.yahoo.com/news/rivian-wins-preliminary-approval-6-121038342.html,Bloomberg
2024-12-02 21:34:00,Biden Offers $7.5 Billion for Samsung SDI-Stellantis Hub,https://finance.yahoo.com/news/biden-offers-7-5-billion-023420609.html,Bloomberg
2024-12-20 18:15:00,"US Loans to Rivian, Plug Under Threat From Federal Shutdown",https://finance.yahoo.com/news/us-loans-rivian-plug-under-182908537.html,Bloomberg
2025-01-03 08:34:00,EV maker Rivian beats expectations for deliveries as supply snag eases,https://finance.yahoo.com/news/ev-maker-rivian-beats-expectations-133457321.html,Reuters
2025-01-15 21:17:00,US to finalize billions in funding for Rivian and Plug before Trump,https://finance.yahoo.com/news/us-finalize-billions-funding-rivian-021727249.html,Bloomberg
2025-01-16 17:25:00,"US Finalizing Billions for Rivian, Plug Power Before Trump Retakes Office",https://finance.yahoo.com/news/us-finalize-billions-funding-rivian-021727249.html,Bloomberg
2025-01-17 05:27:00,"Volkswagen looking to deepen partnership with U.S. EV maker Rivian, Spiegel reports",https://finance.yahoo.com/news/volkswagen-looking-deepen-partnership-u-102726260.html,Reuters
2025-01-21 10:19:00,Trump Orders Removal of EV-Favoring Policies and Subsidies,https://finance.yahoo.com/news/trump-orders-end-electric-vehicle-023834982.html,Bloomberg
2025-01-23 16:41:00,"Rivian to launch hands-free driving system in 2025, 'eyes-off' in 2026, CEO says",https://finance.yahoo.com/news/rivian-launch-hands-free-driving-214138749.html,Reuters
2025-01-23 23:29:00,Rivian says other automakers 'knocking on door' about tech from VW joint venture,https://finance.yahoo.com/news/rivian-says-other-automakers-knocking-042927428.html,Reuters
